,Unnamed: 0,apex,fqdns,firstseen-pdns,lastseen-pdns,days count-pdns,query count,name servers,ns domain,soa_domains_nos,soa_domain,suspicious_tld,length,entropy,fake_tld,brand,pop_keywords,similar,is_idn,minus,num_subdomains,Label,Number_of_total_Scans,Number_of_Benign_Scans,apex_marked_malicious,domain_marked_malicious,sibling_domain_marked_malicious,Number_of_query_parameters,Positive_count,Response_code,URL_after_redirects,resolution,rlength,url_length,number of days between firstseen and lastseen,Alexa rank (avg)
0,0,xorax.info,xorax.info,2013-10-02,2020-01-04,13856,1,1,True,1,True,Y,10,0.3652410164862568,0,0,0,0,N,0,0,Compromised,21.0,0.0,21.0,21.0,0.0,0,5,403,False,37.59.35.161,234,50,1097,728788.0
1,1,in.net,l00adbum.h7b4.in.net,2019-08-13,2019-08-13,32,1,2,True,2,None,N,20,0.4730229691428727,0,0,0,1,N,0,2,Compromised,69654.0,7.0,2361.0,0.0,2357.0,0,5,200,False,91.202.63.42,20121,28,3,743018.75
2,2,gemtown88.com,securelogin.poste.it.gemtown88.com,2019-08-07,2019-08-08,5,1,3,True,1,None,N,34,0.4787457644214028,0,0,0,0,N,0,3,Compromised,5.0,1.0,4.0,0.0,0.0,0,8,403,False,113.11.250.72,122,74,2,788010.0
3,3,beageagae.com,www.payment-confirmation-account.beageagae.com,2019-07-17,2019-07-19,23,1,1,True,1,None,N,46,0.4933546875965067,0,0,1,0,N,2,2,Attacker-Created,5.0,0.0,5.0,0.0,1.0,0,5,None,False,on,None,62,0,420622.0
4,4,acteltechnologies.com,us-en.face-book-com-2979643306.acteltechnologies.com,2019-08-15,2019-08-16,14,1,4,True,5,None,N,52,0.5455262368132304,1,0,0,0,N,4,2,Compromised,145.0,0.0,144.0,0.0,141.0,0,6,200,False,199.188.204.102,818,60,0,883527.5
5,5,jbmart.in,usaacominetentproofproofingeventactioninitevent.jbmart.in,2019-02-12,2019-02-13,31,1,4,True,3,None,N,57,0.4770592757514903,0,0,0,0,N,0,1,Attacker-Created,4.0,0.0,4.0,0.0,0.0,0,7,None,False,on,None,83,70,408885.0
6,6,gb.net,sightseeingtoronto.gb.net,2018-09-18,2019-09-12,411,2,1,True,1,True,N,25,0.41538428147368495,0,0,0,0,N,0,1,Compromised,1600.0,0.0,903.0,0.0,897.0,0,5,522,False,104.18.34.221,4812,34,332,262925.0
7,7,flu.cc,teromoke.flu.cc,2018-02-03,2018-09-29,24,2,5,True,2,None,Y,15,0.4216946654421501,0,0,0,0,N,0,1,Attacker-Created,1055.0,0.0,1050.0,0.0,1047.0,0,6,200,True,72.52.179.174,0,23,560,436194.0
8,8,yao.cl,dwhitten.yao.cl,2019-08-06,2019-08-08,10,1,1,True,1,True,N,15,0.4550279987754834,0,0,0,1,N,0,1,Attacker-Created,62.0,0.0,62.0,0.0,54.0,0,9,500,False,51.89.153.79,251,77,3,476362.5
9,9,okeyoyna.net,okeyoyna.net,2014-11-30,2020-01-04,20926,11,6,True,7,True,N,12,0.36478698228922657,0,0,0,0,N,0,0,Compromised,3.0,0.0,3.0,3.0,0.0,0,6,200,True,104.24.126.86,52836,40,1241,652275.4736842106
10,10,ssf.ly,ssf.ly,2013-06-29,2020-01-04,16552,5,6,True,3,None,N,6,0.2814536489558933,0,0,0,0,N,0,0,Compromised,4.0,1.0,3.0,3.0,0.0,0,5,200,True,192.124.249.114,27477,42,447,354168.6666666667
