,apex,domain_malicious,subdomain_malicious,#total_scans,#benign_scans,#query,#ip,#ns,ns_matching,#soa,soa_matching,label,positives,response_code,rlength,url_after_redirects,url,suspicious_tld,length,entropy,fake_tld,brand,pop_keywords,similar,is_idn,minus,num_subdomains,mean_urls_per_subdomain,mean_path_depth_per_subdomain,mean_query_parameters_per_subdomain_paths,mean_path_length_per_subdomain_paths,mean_number_of_popular_keywords_per_subdomain_paths,url_length,#query_parameters,#dots_in_path,#brands_in_path,#similar_keywords_in_path,#suspicious_keywords_in_path,Alexa_Rank_Avg,Is_FQDN_In_Alexa_1Year
0,missaomagalu.com,True,False,30.0,0.0,205.0,1.0,1.0,True,1.0,None,1,13,"213    1
Name: response_code, dtype: int64","213    7295
Name: rlength, dtype: int64","213    True
Name: url_after_redirects, dtype: bool","213    http://missaomagalu.com/site/promocao.php
Name: url, dtype: object",N,73,0.5616313439039995,0,0,0,0,N,0,1,27.0,1.7037038,0.0,14.111111,0.0,73,1,1,0,0,0,1000000.0,False
1,nadescomister.org,True,False,18.0,0.0,2.0,1.0,1.0,True,1.0,None,0,11,"274    1
Name: response_code, dtype: int64","274    7559
Name: rlength, dtype: int64","274    True
Name: url_after_redirects, dtype: bool","274    http://www.nadescomister.org/misterdescoxdocx/...
Name: url, dtype: object",N,81,0.5759740258637277,0,0,0,0,N,0,4,9.5,2.0944445,0.0,26.483334000000003,0.0,81,1,2,0,0,0,1000000.0,False
2,keeleycollc.org,True,False,17.0,0.0,915.0,2.0,1.0,True,1.0,None,0,14,"393    1
Name: response_code, dtype: int64","393    81582
Name: rlength, dtype: int64","393    True
Name: url_after_redirects, dtype: bool","393    https://keeleycollc.org/login/ebay.html
Name: url, dtype: object",N,71,0.5668045652624987,0,0,0,0,N,0,1,16.0,1.625,0.0,10.6875,0.0,71,1,1,1,0,0,1000000.0,False
3,wldptmfls.com,True,True,38.0,1.0,722.0,1.0,1.0,True,1.0,None,1,10,"177    1
Name: response_code, dtype: int64","177    2194
Name: rlength, dtype: int64","177    True
Name: url_after_redirects, dtype: bool","177    http://wldptmfls.com/
Name: url, dtype: object",N,53,0.5561069043505834,0,0,0,0,N,0,0,17.0,1.0,0.0,1.0,0.0,53,1,1,0,0,0,1000000.0,False
4,fddfgf55.xyz,True,False,262.0,0.0,236.0,3.0,1.0,True,1.0,None,1,17,"371    1
Name: response_code, dtype: int64","371    392147
Name: rlength, dtype: int64","371    True
Name: url_after_redirects, dtype: bool","371    https://fddfgf55.xyz/wp/tax/taxb/desj/question...
Name: url, dtype: object",N,81,0.5963494394660775,0,0,0,0,N,0,3,88.0,4.2954545,0.022727273,23.295454,0.0,81,1,1,0,0,0,1653.8948,False
5,confrz-ytrs.ml,True,False,70.0,0.0,70.0,1.0,1.0,True,1.0,True,1,14,"165    1
Name: response_code, dtype: int64","165    332
Name: rlength, dtype: int64","165    True
Name: url_after_redirects, dtype: bool","165    https://confrz-ytrs.ml/branco/39534f/en/
Name: url, dtype: object",N,72,0.5945210979477501,0,0,0,0,N,1,0,37.0,2.8108107999999996,0.0,15.351351999999999,0.0,72,1,1,0,0,0,1000000.0,False
6,sentinelti.com,True,False,106.0,1.0,1088.0,1.0,1.0,True,1.0,True,0,11,"220    1
Name: response_code, dtype: int64","220    0
Name: rlength, dtype: int64","220    True
Name: url_after_redirects, dtype: bool","220    https://www.fidelidade.sentinelti.com/vendor/b...
Name: url, dtype: object",N,81,0.5732604076999478,0,0,0,0,N,0,5,5.5,3.85,0.0,32.75,0.0,81,1,3,0,0,0,1000000.0,False
7,rajby.com,True,False,1282.0,1.0,12083.0,9.0,7.0,True,7.0,None,0,17,"437    1
Name: response_code, dtype: int64","437    436285
Name: rlength, dtype: int64","437    True
Name: url_after_redirects, dtype: bool","437    http://rajby.com/wells-fargo/wells-fargo/2zkyj...
Name: url, dtype: object",N,81,0.5968870190128306,0,0,0,0,N,2,3,258.5,5.224426,0.0,49.63746,0.0,81,1,1,0,2,0,25276.316000000003,False
8,itunes-cloud.services,True,True,1734.0,0.0,124.0,1.0,1.0,True,1.0,None,1,17,"63    1
Name: response_code, dtype: int64","63    564
Name: rlength, dtype: int64","63    True
Name: url_after_redirects, dtype: bool","63    https://apple.com.itunes-cloud.services/login
Name: url, dtype: object",N,76,0.5759135548669009,0,0,0,0,N,1,2,591.5,1.0008771,0.5619339,10.950061,0.0,76,1,3,1,0,0,1000000.0,False
9,netc.gq,True,False,92.0,3.0,487.0,4.0,3.0,True,2.0,True,1,15,"345    1
Name: response_code, dtype: int64","345    3234
Name: rlength, dtype: int64","345    True
Name: url_after_redirects, dtype: bool","345    https://netc.gq/wp-admin/bigr/tfc.php
Name: url, dtype: object",N,69,0.589851219678524,0,0,0,0,N,1,1,65.0,2.7846153,0.52307695,20.6,0.0,69,1,1,0,0,0,1000000.0,False
10,tinhoctienvan.com,True,False,144.0,0.0,6326.0,2.0,2.0,True,2.0,None,0,14,"28    1
Name: response_code, dtype: int64","28    333
Name: rlength, dtype: int64","28    True
Name: url_after_redirects, dtype: bool","28    http://tinhoctienvan.com/skin/adminhtml/defaul...
Name: url, dtype: object",N,80,0.5735828640356762,0,0,0,0,N,0,3,69.0,3.9710145,0.0,21.884058,0.0,80,1,1,0,0,0,10739.445,False
11,townsvilleoutriggers.org.au,True,True,1819.0,1.0,4298.0,2.0,2.0,True,1.0,None,0,18,"214    1
Name: response_code, dtype: int64","214    9865
Name: rlength, dtype: int64","214    True
Name: url_after_redirects, dtype: bool","214    http://www.townsvilleoutriggers.org.au/uploads...
Name: url, dtype: object",N,81,0.5788707036345285,0,0,0,0,N,0,5,334.0,4.8451695,0.2530255,39.074196,0.0,81,1,3,0,0,0,5676.4688,False
12,semnurpharma.com,True,True,162.0,2.0,9809.0,2.0,1.0,True,1.0,True,0,9,"410    1
Name: response_code, dtype: int64","410    320
Name: rlength, dtype: int64","410    True
Name: url_after_redirects, dtype: bool","410    http://www.semnurpharma.com/cds
Name: url, dtype: object",N,63,0.5707002508380603,0,0,0,0,N,0,1,8.5,2.4285715,0.21428572,19.809525,0.0,63,1,2,0,0,0,1000000.0,False
13,jppost-bba.top,True,False,77.0,0.0,136.0,3.0,1.0,True,1.0,None,1,13,"203    1
Name: response_code, dtype: int64","203    38376
Name: rlength, dtype: int64","203    True
Name: url_after_redirects, dtype: bool","203    http://jppost-bba.top/
Name: url, dtype: object",N,54,0.5468022923440077,0,0,0,0,N,1,0,17.0,1.0,0.0,5.8235292,0.0,54,1,1,0,0,0,1000000.0,False
14,oplatyonline.com,True,False,44.0,2.0,31.0,1.0,1.0,True,1.0,True,1,5,"40    1
Name: response_code, dtype: int64","40    3298
Name: rlength, dtype: int64","40    True
Name: url_after_redirects, dtype: bool","40    http://oplatyonline.com/
Name: url, dtype: object",N,55,0.5493048062584173,0,0,0,0,N,0,0,5.0,1.0,0.0,1.0,0.0,55,1,1,0,0,0,1000000.0,False
15,mcallteam.com,False,False,203.0,1.0,1897.0,2.0,1.0,True,1.0,True,0,15,"141    1
Name: response_code, dtype: int64","141    63
Name: rlength, dtype: int64","141    True
Name: url_after_redirects, dtype: bool","141    https://jlsx2c6rykufxgkk.mcallteam.com/vendor/...
Name: url, dtype: object",N,81,0.5976435388432583,0,0,0,0,N,0,4,17.5,2.7647060000000003,0.0,14.867647,0.0,81,1,2,0,0,0,1000000.0,False
16,amozancco.com,True,False,59.0,0.0,,,,,,,1,12,"342    1
Name: response_code, dtype: int64","342    4585
Name: rlength, dtype: int64","342    True
Name: url_after_redirects, dtype: bool","342    http://amozancco.com/
Name: url, dtype: object",N,53,0.5522496596203751,0,0,0,0,N,0,0,6.0,1.0,0.0,1.0,0.0,53,1,1,0,0,0,1000000.0,False
17,casters-m.com,True,True,38.0,2.0,9972.0,3.0,2.0,True,2.0,None,1,16,"450    1
Name: response_code, dtype: int64","450    2166
Name: rlength, dtype: int64","450    True
Name: url_after_redirects, dtype: bool","450    http://www.casters-m.com/ononve/toda/
Name: url, dtype: object",N,69,0.5719629889099106,0,0,0,0,N,1,1,8.5,1.9772726999999999,0.0,10.295455,0.0,69,1,2,0,0,0,1000000.0,False
18,v8s1.com,True,True,14.0,1.0,803.0,1.0,1.0,True,1.0,True,0,15,"375    1
Name: response_code, dtype: int64","375    7592
Name: rlength, dtype: int64","375    True
Name: url_after_redirects, dtype: bool","375    http://condtest.v8s1.com/vendor/bin/balleytee/...
Name: url, dtype: object",N,81,0.5749631893430885,0,0,0,0,N,0,4,10.0,3.2,0.0,27.2,0.0,81,1,2,0,0,0,1000000.0,False
19,doganbaan.top,True,False,41.0,2.0,145.0,2.0,1.0,True,1.0,True,1,12,"139    1
Name: response_code, dtype: int64","139    2560
Name: rlength, dtype: int64","139    True
Name: url_after_redirects, dtype: bool","139    https://doganbaan.top/qpr/ZS?1456647799667&emz...
Name: url, dtype: object",N,81,0.6192086142967181,0,0,0,0,N,0,3,34.0,2.2647060000000003,1.3823530000000002,6.3235292,0.0,81,2,1,0,0,0,1000000.0,False
20,resgatepontosacumulados.com,True,False,84.0,0.0,784.0,4.0,3.0,True,1.0,None,1,13,"251    1
Name: response_code, dtype: int64","251    4104
Name: rlength, dtype: int64","251    True
Name: url_after_redirects, dtype: bool","251    https://resgatepontosacumulados.com/ssejijissa...
Name: url, dtype: object",N,81,0.5653600746608534,0,0,0,0,N,0,3,72.0,1.7222221999999998,0.0,39.72222,0.0,81,1,1,0,0,0,1000000.0,False
21,amfbank.in,True,False,,,,,,,,,1,13,"205    1
Name: response_code, dtype: int64","205    36721
Name: rlength, dtype: int64","205    True
Name: url_after_redirects, dtype: bool","205    https://amfbank.in/wp-content/plugins/divi-twe...
Name: url, dtype: object",N,81,0.5955033809028851,0,0,0,0,N,2,3,70.0,5.6857142,0.6571429,66.814285,0.0,81,1,1,0,0,0,4007.866,False
